D4;D10;D21;D36;D60
1.552E-02;4.947E-02;2.840E-01;2.803E-01;2.989E-01
1.473E-02;4.648E-02;2.801E-01;2.545E-01;2.859E-01
1.393E-02;4.593E-02;2.443E-01;2.475E-01;2.841E-01
1.346E-02;4.531E-02;2.239E-01;2.461E-01;2.769E-01
1.142E-02;3.867E-02;2.021E-01;2.454E-01;2.698E-01
1.137E-02;3.675E-02;1.931E-01;2.353E-01;2.647E-01
1.129E-02;3.599E-02;1.926E-01;2.283E-01;2.477E-01
1.076E-02;3.495E-02;1.903E-01;2.261E-01;2.346E-01
1.052E-02;3.406E-02;1.854E-01;2.253E-01;2.281E-01
1.038E-02;3.381E-02;1.627E-01;2.129E-01;2.096E-01
9.984E-03;3.072E-02;1.520E-01;2.101E-01;2.054E-01
9.695E-03;3.018E-02;1.450E-01;2.093E-01;2.025E-01
8.780E-03;2.957E-02;1.357E-01;2.062E-01;1.948E-01
8.731E-03;2.882E-02;1.263E-01;2.008E-01;1.856E-01
8.667E-03;2.852E-02;1.160E-01;1.992E-01;1.741E-01
8.487E-03;2.646E-02;1.118E-01;1.881E-01;1.702E-01
8.442E-03;2.582E-02;1.103E-01;1.871E-01;1.661E-01
8.209E-03;2.524E-02;1.072E-01;1.804E-01;1.657E-01
8.194E-03;2.515E-02;1.047E-01;1.702E-01;1.549E-01
8.048E-03;2.345E-02;1.040E-01;1.695E-01;1.503E-01
7.964E-03;2.283E-02;1.006E-01;1.614E-01;1.499E-01
7.851E-03;2.249E-02;9.859E-02;1.597E-01;1.473E-01
7.308E-03;2.220E-02;9.736E-02;1.535E-01;1.403E-01
6.900E-03;2.123E-02;9.511E-02;1.521E-01;1.310E-01
6.873E-03;2.095E-02;8.957E-02;1.464E-01;1.219E-01
6.702E-03;2.089E-02;8.748E-02;1.386E-01;1.216E-01
6.495E-03;2.070E-02;8.159E-02;1.276E-01;1.206E-01
6.491E-03;2.061E-02;8.013E-02;1.244E-01;1.176E-01
6.233E-03;2.049E-02;7.708E-02;1.237E-01;1.165E-01
6.098E-03;1.959E-02;7.507E-02;1.232E-01;1.088E-01
6.068E-03;1.849E-02;7.430E-02;1.211E-01;1.052E-01
6.060E-03;1.823E-02;6.876E-02;1.206E-01;1.003E-01
6.003E-03;1.789E-02;6.544E-02;1.182E-01;9.246E-02
5.957E-03;1.690E-02;6.047E-02;1.002E-01;9.215E-02
5.393E-03;1.679E-02;5.728E-02;9.568E-02;8.995E-02
5.235E-03;1.573E-02;5.683E-02;9.509E-02;8.606E-02
5.016E-03;1.536E-02;5.464E-02;9.405E-02;8.548E-02
4.256E-03;1.449E-02;5.117E-02;9.307E-02;8.265E-02
4.189E-03;1.411E-02;4.855E-02;9.065E-02;8.150E-02
3.980E-03;1.398E-02;4.849E-02;8.789E-02;8.140E-02
3.970E-03;1.340E-02;4.843E-02;8.759E-02;7.972E-02
3.839E-03;1.327E-02;4.834E-02;8.658E-02;7.830E-02
3.834E-03;1.290E-02;4.611E-02;8.459E-02;7.675E-02
3.600E-03;1.275E-02;4.606E-02;8.405E-02;7.272E-02
3.585E-03;1.233E-02;4.453E-02;8.235E-02;7.003E-02
3.409E-03;1.230E-02;4.429E-02;8.178E-02;6.997E-02
3.361E-03;1.229E-02;4.227E-02;7.875E-02;6.804E-02
3.220E-03;1.213E-02;4.065E-02;7.875E-02;6.741E-02
3.137E-03;1.212E-02;3.860E-02;7.852E-02;6.665E-02
2.903E-03;1.124E-02;3.825E-02;7.690E-02;6.565E-02
2.890E-03;1.068E-02;3.712E-02;7.632E-02;6.371E-02
2.843E-03;1.008E-02;3.684E-02;7.613E-02;6.198E-02
2.823E-03;9.789E-03;3.432E-02;7.597E-02;6.168E-02
2.785E-03;9.038E-03;3.298E-02;7.511E-02;6.132E-02
2.783E-03;8.838E-03;3.197E-02;7.343E-02;5.751E-02
2.452E-03;8.774E-03;2.676E-02;7.261E-02;5.676E-02
2.433E-03;8.774E-03;2.592E-02;7.172E-02;5.423E-02
2.135E-03;8.598E-03;2.583E-02;7.025E-02;5.397E-02
2.118E-03;8.487E-03;2.539E-02;6.794E-02;5.377E-02
2.070E-03;8.301E-03;2.502E-02;6.622E-02;5.357E-02
2.030E-03;7.940E-03;2.453E-02;6.622E-02;5.222E-02
2.030E-03;7.894E-03;2.395E-02;6.600E-02;5.118E-02
1.969E-03;7.892E-03;2.317E-02;6.521E-02;5.028E-02
1.959E-03;7.882E-03;2.300E-02;6.246E-02;4.908E-02
1.950E-03;7.594E-03;2.238E-02;6.219E-02;4.853E-02
1.819E-03;7.582E-03;2.176E-02;6.177E-02;4.821E-02
1.813E-03;7.562E-03;2.156E-02;5.702E-02;4.732E-02
1.771E-03;7.559E-03;2.114E-02;5.641E-02;4.624E-02
1.769E-03;7.526E-03;2.041E-02;5.446E-02;4.496E-02
1.734E-03;7.516E-03;2.041E-02;5.379E-02;4.345E-02
1.706E-03;7.001E-03;1.996E-02;5.231E-02;3.795E-02
1.572E-03;6.986E-03;1.944E-02;5.038E-02;3.713E-02
1.557E-03;6.983E-03;1.935E-02;4.956E-02;3.458E-02
1.384E-03;6.968E-03;1.889E-02;4.941E-02;3.442E-02
1.316E-03;6.948E-03;1.858E-02;4.830E-02;3.387E-02
1.295E-03;6.785E-03;1.858E-02;4.825E-02;3.332E-02
1.288E-03;6.684E-03;1.823E-02;4.809E-02;3.208E-02
1.283E-03;6.387E-03;1.797E-02;4.779E-02;2.783E-02
1.251E-03;6.370E-03;1.759E-02;4.682E-02;2.768E-02
1.247E-03;6.191E-03;1.604E-02;4.522E-02;2.755E-02
1.197E-03;6.116E-03;1.600E-02;4.512E-02;2.628E-02
1.117E-03;6.106E-03;1.469E-02;4.507E-02;2.606E-02
9.461E-04;6.045E-03;1.317E-02;4.427E-02;2.521E-02
9.179E-04;5.994E-03;1.229E-02;4.295E-02;2.479E-02
9.145E-04;5.897E-03;1.182E-02;3.996E-02;2.300E-02
8.415E-04;5.861E-03;1.160E-02;3.952E-02;2.244E-02
8.249E-04;5.851E-03;1.150E-02;3.921E-02;2.218E-02
7.502E-04;5.838E-03;1.075E-02;3.886E-02;2.188E-02
7.502E-04;5.622E-03;1.031E-02;3.739E-02;1.681E-02
7.021E-04;5.330E-03;9.887E-03;3.530E-02;1.648E-02
6.805E-04;5.047E-03;9.472E-03;3.513E-02;1.460E-02
6.457E-04;4.998E-03;8.996E-03;3.507E-02;1.449E-02
6.125E-04;4.857E-03;8.767E-03;3.468E-02;1.429E-02
5.394E-04;4.717E-03;8.603E-03;3.434E-02;1.337E-02
5.162E-04;4.596E-03;8.384E-03;3.419E-02;1.262E-02
4.747E-04;4.510E-03;8.251E-03;3.414E-02;1.198E-02
4.531E-04;4.320E-03;8.012E-03;3.413E-02;1.193E-02
3.751E-04;4.309E-03;6.629E-03;3.400E-02;1.037E-02
3.701E-04;4.304E-03;6.153E-03;3.386E-02;9.605E-03
3.535E-04;4.292E-03;5.788E-03;3.293E-02;8.938E-03
3.403E-04;3.778E-03;5.285E-03;3.134E-02;2.191E-04
3.353E-04;3.763E-03;5.097E-03;3.038E-02;4.481E-05
3.054E-04;3.759E-03;4.008E-03;2.933E-02;3.320E-06
2.656E-04;3.343E-03;3.550E-03;2.845E-02;3.320E-06
2.539E-04;3.149E-03;2.807E-03;2.815E-02;
2.307E-04;3.032E-03;2.538E-03;2.747E-02;
1.328E-04;3.021E-03;2.408E-03;2.599E-02;
8.797E-05;2.989E-03;2.100E-03;2.524E-02;
7.635E-05;2.911E-03;1.245E-03;2.292E-02;
6.473E-05;2.893E-03;1.145E-03;2.243E-02;
6.473E-05;2.805E-03;8.581E-04;2.178E-02;
2.324E-05;2.777E-03;;2.094E-02;
;2.357E-03;;2.074E-02;
;2.227E-03;;2.044E-02;
;2.219E-03;;2.009E-02;
;2.002E-03;;1.968E-02;
;1.877E-03;;1.837E-02;
;1.285E-03;;1.822E-02;
;1.213E-03;;1.766E-02;
;1.034E-03;;1.685E-02;
;9.610E-04;;1.619E-02;
;5.096E-04;;1.445E-02;
;;;1.234E-02;
;;;1.222E-02;
;;;1.104E-02;
;;;6.077E-03;